LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Douglas-fir - Genus type,Taiga Shield West,Douglas-fir - Genus type,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Red oak,Taiga Shield West,Red oak,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Eastern white-cedar,Taiga Shield West,Eastern white-cedar,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Western redcedar,Taiga Shield West,Western redcedar,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Eastern hemlock,Taiga Shield West,Eastern hemlock,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Western hemlock,Taiga Shield West,Western hemlock,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Mountain hemlock,Taiga Shield West,Mountain hemlock,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
White elm,Taiga Shield West,White elm,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Nope,Taiga Plains,Not stocked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amabilis fir,Taiga Plains,Amabilis fir,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
Balsam fir,Taiga Plains,Balsam fir,0,0.0,0.0068,0.2043,1.1186,3.1028,6.1256,9.9574,14.3348,19.0315,23.8747,28.7408,33.5455,38.2332,42.7693,47.1336,51.3163,55.314,59.1283,62.7635,66.2259
Subalpine fir (or alpine fir),Taiga Plains,Subalpine fir (or alpine fir),0,0.0,0.0068,0.2043,1.1186,3.1028,6.1256,9.9574,14.3348,19.0315,23.8747,28.7408,33.5455,38.2332,42.7693,47.1336,51.3163,55.314,59.1283,62.7635,66.2259
